dataset,model,loss,object_acc,best_region,worst_region,best_region_acc,worst_region_acc,region_bias_gap,finetune
dollarstreet,clip,1.5627099762055867,0.7305013927576601,eu,af,0.7784256559766763,0.6776859504132231,0.10073970556345324,yes
dollarstreet,clip,4.429371726214056,0.014623955431754874,eu,af,0.01749271137026239,0.011806375442739079,0.005686335927523312,no
dollarstreet,convnext,1.4279065382292455,0.7667130919220055,eu,af,0.8061224489795918,0.7213695395513577,0.0847529094282341,yes
dollarstreet,convnext,4.286775239662871,0.016016713091922007,am,af,0.02336448598130841,0.010625737898465172,0.012738748082843239,no
dollarstreet,deit,1.5177567174507716,0.7511606313834726,eu,af,0.7857142857142857,0.6965761511216056,0.08913813459268005,yes
dollarstreet,deit,4.4182666147209035,0.01903435468895079,as,am,0.020844189682126108,0.015186915887850467,0.005657273794275641,no
dollarstreet,dino,1.5633087047516692,0.733983286908078,eu,af,0.7667638483965015,0.6894923258559622,0.07727152254053926,yes
dollarstreet,dino,4.6843180116283305,0.010677808727948004,af,eu,0.015348288075560802,0.004373177842565598,0.010975110232995204,no
dollarstreet,mae,1.732312285247066,0.6673630454967502,eu,af,0.6909620991253644,0.6221959858323495,0.06876611329301496,yes
dollarstreet,mae,4.1876437179225405,0.025998142989786442,am,eu,0.029205607476635514,0.021865889212827987,0.0073397182638075265,no
dollarstreet,maxvit,1.5243170821456413,0.728644382544104,eu,af,0.7725947521865889,0.6623376623376623,0.11025708984892657,yes
dollarstreet,maxvit,4.154954717241179,0.028783658310120707,eu,as,0.04518950437317784,0.019801980198019802,0.02538752417515804,no
dollarstreet,resnet,2.005920156462943,0.5886722376973074,eu,af,0.6355685131195336,0.51357733175915,0.12199118136038356,yes
dollarstreet,resnet,4.165417627371785,0.022516248839368615,eu,am,0.026239067055393587,0.01985981308411215,0.006379253971281439,no
dollarstreet,siglip,1.4584320147168117,0.7620705663881151,eu,af,0.7944606413994169,0.7201889020070839,0.074271739392333,yes
dollarstreet,siglip,4.213588364387732,0.016480965645311048,as,eu,0.018238665971860343,0.013119533527696793,0.00511913244416355,no
dollarstreet,swin,1.4693588689177148,0.7609099350046425,eu,af,0.7915451895043731,0.71900826446281,0.07253692504156317,yes
dollarstreet,swin,4.228530132670921,0.018570102135561744,af,as,0.02243211334120425,0.01615424700364773,0.0062778663375565175,no
geode,clip,0.8170276222144358,0.9537838679539085,WestAsia,SouthEastAsia,0.9682707562136436,0.937656753851666,0.030614002361977533,yes
geode,clip,3.8468459250807427,0.04509498598567425,EastAsia,WestAsia,0.04981163666806195,0.033315705975674244,0.01649593069238771,no
geode,convnext,0.7821447018743934,0.9660541887262535,WestAsia,SouthEastAsia,0.9788471708090957,0.9559297742744536,0.022917396534642087,yes
geode,convnext,3.804695772241113,0.02385549672999066,Americas,EastAsia,0.02866923406076166,0.01799916282963583,0.01067007123112583,no
geode,deit,0.7943325774204096,0.962753036437247,WestAsia,SouthEastAsia,0.9719725013220518,0.951988534575421,0.019983966746630832,yes
geode,deit,4.018390457209157,0.01768919339769542,SouthEastAsia,Americas,0.01934790397706915,0.01540436456996149,0.003943539407107661,no
geode,dino,0.7951121679053281,0.9595141700404858,WestAsia,SouthEastAsia,0.9714436805922793,0.9476890003582945,0.02375468023398475,yes
geode,dino,4.0929393711583115,0.020990345686701963,SouthEastAsia,WestAsia,0.026155499820852742,0.015335801163405606,0.010819698657447136,no
geode,mae,0.8839358499843879,0.9285580815945188,WestAsia,SouthEastAsia,0.9391856160761501,0.9204586169831601,0.018726999092990027,yes
geode,mae,3.729315852821894,0.03288695110557459,SouthEastAsia,Africa,0.04371193120745252,0.025727069351230425,0.017984861856222098,no
geode,maxvit,0.8159742853753629,0.9564621613204609,WestAsia,SouthEastAsia,0.9661554732945531,0.9469724113221067,0.019183061972446347,yes
geode,maxvit,3.698673748487403,0.025288072251635006,WestAsia,EastAsia,0.03120042305658382,0.019254918375889492,0.011945504680694326,no
geode,resnet,0.953753582854317,0.9085643101837434,Europe,SouthEastAsia,0.9238033213936828,0.8971694733070584,0.02663384808662439,yes
geode,resnet,3.695092066408726,0.028215509187169106,Americas,Africa,0.03508771929824561,0.021252796420581657,0.013834922877663955,no
geode,siglip,0.7972117564567559,0.9591404546870134,WestAsia,SouthEastAsia,0.973030142781597,0.9451809387316374,0.02784920404995961,yes
geode,siglip,3.7252851526746866,0.025163500467144193,WestAsia,Europe,0.03120042305658382,0.01986323673070661,0.01133718632587721,no
geode,swin,0.7906196022620271,0.9625038928682653,WestAsia,SouthEastAsia,0.9740877842411423,0.9530634181297026,0.021024366111439652,yes
geode,swin,3.800629428004001,0.02030520087200249,Europe,Africa,0.02377075871051775,0.017058165548098435,0.0067125931624193134,no
