dataset,model,object_acc_pretrained,object_acc_finetuned,object_acc_delta_finetuned_minus_pretrained,region_bias_gap_pretrained,region_bias_gap_finetuned,region_bias_gap_delta_finetuned_minus_pretrained
dollarstreet,clip,0.014624,0.730501,0.715877,0.005686,0.100740,0.095053
dollarstreet,convnext,0.016017,0.766713,0.750696,0.012739,0.084753,0.072014
dollarstreet,deit,0.019034,0.751161,0.732126,0.005657,0.089138,0.083481
dollarstreet,dino,0.010678,0.733983,0.723305,0.010975,0.077272,0.066296
dollarstreet,mae,0.025998,0.667363,0.641365,0.007340,0.068766,0.061426
dollarstreet,maxvit,0.028784,0.728644,0.699861,0.025388,0.110257,0.084870
dollarstreet,resnet,0.022516,0.588672,0.566156,0.006379,0.121991,0.115612
dollarstreet,siglip,0.016481,0.762071,0.745590,0.005119,0.074272,0.069153
dollarstreet,swin,0.018570,0.760910,0.742340,0.006278,0.072537,0.066259
geode,clip,0.045095,0.953784,0.908689,0.016496,0.030614,0.014118
geode,convnext,0.023855,0.966054,0.942199,0.010670,0.022917,0.012247
geode,deit,0.017689,0.962753,0.945064,0.003944,0.019984,0.016040
geode,dino,0.020990,0.959514,0.938524,0.010820,0.023755,0.012935
geode,mae,0.032887,0.928558,0.895671,0.017985,0.018727,0.000742
geode,maxvit,0.025288,0.956462,0.931174,0.011946,0.019183,0.007238
geode,resnet,0.028216,0.908564,0.880349,0.013835,0.026634,0.012799
geode,siglip,0.025164,0.959140,0.933977,0.011337,0.027849,0.016512
geode,swin,0.020305,0.962504,0.942199,0.006713,0.021024,0.014312
